label,stream,layer,width,mse,rmse,fvu
past,residual,14,8x,0.0066748070530593395,0.08169949236720715,0.6347791887584782
past,residual,15,8x,0.007865982130169868,0.08869037225183954,0.5614597895764073
past,residual,16,8x,0.009516334161162376,0.09755169993989021,0.5064279328586689
past,residual,17,8x,0.01221264898777008,0.11051085461514665,0.518913145298017
past,residual,18,8x,0.01531151682138443,0.12373971400235427,0.5173384325132128
past,residual,19,8x,0.018494661897420883,0.13599508041624478,0.5117901066191805
past,residual,20,8x,0.02248360589146614,0.14994534301359994,0.5216544078021574
past,residual,21,8x,0.028069743886590004,0.1675402754163607,0.5307811849283764
past,residual,22,8x,0.03168308734893799,0.17799743635495988,0.5188353987440383
past,residual,23,8x,0.038102902472019196,0.19519964772514115,0.5410574757686666
past,residual,24,8x,0.04447341337800026,0.21088720534446906,0.550227705235446
past,residual,25,8x,0.05406731367111206,0.23252379162380796,0.580095850856815
past,residual,26,8x,0.06155857816338539,0.24811001221914725,0.5726171706853641
past,residual,27,8x,0.0741487592458725,0.2723026978306908,0.5914802080339404
past,residual,28,8x,0.09280414134263992,0.30463772147033913,0.613247698295367
past,residual,29,8x,0.12222443521022797,0.34960611437763495,0.6404201923959801
past,residual,30,8x,0.17061007022857666,0.4130497188336734,0.6719561851707085
past,residual,31,8x,0.28806954622268677,0.5367211065559904,0.48576410121572566
past,mlp,14,8x,0.002214412670582533,0.04705754637231453,0.7224601853590534
past,mlp,15,8x,0.002687647705897689,0.05184252796592474,0.6491962039034695
past,mlp,16,8x,0.002790428465232253,0.05282450629425942,0.5679956993686966
past,mlp,17,8x,0.0031002406030893326,0.05567980426590356,0.6290553383499282
past,mlp,18,8x,0.0032710826490074396,0.05719337941586805,0.6379789862626379
past,mlp,19,8x,0.0033789672888815403,0.058128885150857144,0.6385933634764414
past,mlp,20,8x,0.0036059264093637466,0.060049366435989536,0.6502628916324523
past,mlp,21,8x,0.003943629562854767,0.06279832452267152,0.6477012208067616
past,mlp,22,8x,0.0038162395358085632,0.06177571963003396,0.6863955796299953
past,mlp,23,8x,0.003875679336488247,0.06225495431279544,0.6966825088866601
past,mlp,24,8x,0.004029740579426289,0.0634802377077015,0.6606226025736626
past,mlp,25,8x,0.004737087991088629,0.06882650645709565,0.7139995318527856
past,mlp,26,8x,0.005385272670537233,0.07338441708249262,0.7212265182303136
past,mlp,27,8x,0.006983725819736719,0.08356868923069644,0.7061615781698136
past,mlp,28,8x,0.01005699671804905,0.10028457866516192,0.6869755852620043
past,mlp,29,8x,0.01499555166810751,0.12245632555367449,0.6828616696017359
past,mlp,30,8x,0.030533120036125183,0.17473728862531082,0.6851193053056094
past,mlp,31,8x,0.1310083568096161,0.36195076572597007,0.36836910661392636
past,attention,14,8x,0.0005023879930377007,0.022414013318406426,0.9258144678944912
past,attention,15,8x,0.00045398325892165303,0.02130688290017226,0.695290109496492
past,attention,16,8x,0.0005028780433349311,0.02242494243771723,0.6761244017453716
past,attention,17,8x,0.00042969195055775344,0.02072901229093546,0.5886003608441086
past,attention,18,8x,0.0002719980548135936,0.016492363530240098,0.4900568984746846
past,attention,19,8x,0.00018784751591738313,0.013705747550476155,0.6703500273669845
past,attention,20,8x,0.00019526664982549846,0.01397378437737961,0.5894396532790092
past,attention,21,8x,0.0003649807476904243,0.01910446931192867,0.7912903839486078
past,attention,22,8x,0.00021307125280145556,0.014596960395967907,0.6701965072497865
past,attention,23,8x,0.00021809691679663956,0.014768104712407736,0.6113881195067385
past,attention,24,8x,0.0002826633572112769,0.016812595195604896,0.6896598027132957
past,attention,25,8x,0.000531599042005837,0.023056431684149153,0.8442152071662882
past,attention,26,8x,0.0005741442437283695,0.02396130722077511,0.8972568403428338
past,attention,27,8x,0.0007165985298343003,0.026769358039263853,0.7376385715883779
past,attention,28,8x,0.0009510865202173591,0.0308396906634512,0.9612861451368618
past,attention,29,8x,0.0018365210853517056,0.042854650685213914,0.7934223522094833
past,attention,30,8x,0.0025668172165751457,0.050663766308626776,0.9409168300879099
past,attention,31,8x,0.007295300252735615,0.08541252983453666,0.6024213383799737
present,residual,14,8x,0.006613984238356352,0.08132640554184324,0.6014242613325907
present,residual,15,8x,0.007710508536547422,0.08780950140245315,0.5387789817318352
present,residual,16,8x,0.009294643998146057,0.09640873403455756,0.4880091639660852
present,residual,17,8x,0.011915955692529678,0.10916022944520444,0.49684303101951716
present,residual,18,8x,0.015150317922234535,0.12308662771493309,0.5018901950505064
present,residual,19,8x,0.018099520355463028,0.13453445787404442,0.49488073692779433
present,residual,20,8x,0.022153034806251526,0.14883895594316537,0.5076845571319502
present,residual,21,8x,0.027535129338502884,0.1659371246541981,0.5130953273467393
present,residual,22,8x,0.0312514491379261,0.17678079403013808,0.5043268178421261
present,residual,23,8x,0.037569768726825714,0.1938292256777231,0.5254541335626388
present,residual,24,8x,0.04385696351528168,0.20942054224760684,0.5353502888121051
present,residual,25,8x,0.05384235829114914,0.23203956190949238,0.5683301357910172
present,residual,26,8x,0.062061455100774765,0.24912136620686465,0.5639453908287108
present,residual,27,8x,0.07486286759376526,0.27361079582824444,0.5818085256438911
present,residual,28,8x,0.09454295784235,0.3074783859759089,0.6010764706556659
present,residual,29,8x,0.12392193078994751,0.35202546895068193,0.620566957797692
present,residual,30,8x,0.17517469823360443,0.4185387655087691,0.6498159574991446
present,residual,31,8x,0.298464834690094,0.5463193522932297,0.4739643772974557
present,mlp,14,8x,0.002221102127805352,0.04712857018630368,0.7073258604451553
present,mlp,15,8x,0.0026316733565181494,0.05129983778257149,0.6615819128351662
present,mlp,16,8x,0.0027765026316046715,0.05269252918208303,0.5817997629084299
present,mlp,17,8x,0.0030922817531973124,0.055608288529654576,0.6294998250553202
present,mlp,18,8x,0.003220826154574752,0.056752322900254504,0.6282605792952102
present,mlp,19,8x,0.0033362347166985273,0.057760148170676706,0.6479664669545228
present,mlp,20,8x,0.0035682953894138336,0.05973521063337631,0.6511577790981138
present,mlp,21,8x,0.00388706405647099,0.06234632352008409,0.6327416207508527
present,mlp,22,8x,0.003774298122152686,0.06143531657078594,0.6804976492262164
present,mlp,23,8x,0.003800441510975361,0.061647721052569014,0.6825645415751718
present,mlp,24,8x,0.003938276786357164,0.06275569126666652,0.6568141776559147
present,mlp,25,8x,0.004658866208046675,0.06825588771708031,0.699984041086541
present,mlp,26,8x,0.005280992481857538,0.07267043746846126,0.6942964429815104
present,mlp,27,8x,0.0068333949893713,0.08266435138178549,0.6828363577479705
present,mlp,28,8x,0.009880146943032742,0.09939892827909536,0.6320064173327559
present,mlp,29,8x,0.015327918343245983,0.12380597054765163,0.6646825411248981
present,mlp,30,8x,0.031667206436395645,0.1779528208160681,0.6552909266738898
present,mlp,31,8x,0.13547144830226898,0.3680644621561133,0.36402039079718607
present,attention,14,8x,0.0005121632711961865,0.02263102452820434,0.9190674391699615
present,attention,15,8x,0.00046009672223590314,0.021449865319761407,0.7349198918502788
present,attention,16,8x,0.0005055965739302337,0.022485474732151726,0.6632509492812585
present,attention,17,8x,0.0004520030051935464,0.02126036230155889,0.5875296163148017
present,attention,18,8x,0.0002876232611015439,0.016959459339894768,0.5558446519639207
present,attention,19,8x,0.00018450533389113843,0.013583274049033187,0.6751671635280195
present,attention,20,8x,0.0002258394961245358,0.01502795715074194,0.5654699651381068
present,attention,21,8x,0.0003778597165364772,0.019438614059044363,0.764786594022168
present,attention,22,8x,0.00020562333520501852,0.014339572350841517,0.7266823437157527
present,attention,23,8x,0.00022520219499710947,0.015006738319738552,0.5835399470070523
present,attention,24,8x,0.00027641700580716133,0.01662579338880287,0.6739409534883176
present,attention,25,8x,0.0005675075808539987,0.02382241761144319,0.832733476681692
present,attention,26,8x,0.0005757663166150451,0.023995131102268332,0.8769582437270107
present,attention,27,8x,0.0007104980177246034,0.026655168686853276,0.7533732259911743
present,attention,28,8x,0.0009694563341327012,0.031136093751989845,0.9352202188785286
present,attention,29,8x,0.002040615538135171,0.04517317277029776,0.8136841791561908
present,attention,30,8x,0.0025562276132404804,0.05055914964910387,0.9248733922733084
present,attention,31,8x,0.0076464335434138775,0.08744388797059448,0.5772681462386252
future,residual,14,8x,0.007229173090308905,0.08502454404646287,0.6156398501576561
future,residual,15,8x,0.008307557553052902,0.0911458038148378,0.5455871474868551
future,residual,16,8x,0.009944622404873371,0.09972272762451583,0.5111273318184221
future,residual,17,8x,0.0128789646551013,0.11348552619211535,0.5358395316587715
future,residual,18,8x,0.015814101323485374,0.125754130443041,0.5248196941454887
future,residual,19,8x,0.01932387985289097,0.139010358797073,0.5285968011586053
future,residual,20,8x,0.023421116173267365,0.15303959021530136,0.5341551106881183
future,residual,21,8x,0.029137510806322098,0.170697131804615,0.5340854898306122
future,residual,22,8x,0.03252158313989639,0.18033741469782802,0.5091466160028629
future,residual,23,8x,0.039443742483854294,0.19860448757229604,0.5282983762211672
future,residual,24,8x,0.048097506165504456,0.21931143646765086,0.5477300834618476
future,residual,25,8x,0.05743159353733063,0.23964889638245912,0.5610518547708024
future,residual,26,8x,0.06770715117454529,0.2602059783605006,0.5555326991590076
future,residual,27,8x,0.08790029585361481,0.29647984055179,0.6064509542709487
future,residual,28,8x,0.1105341762304306,0.33246680470451573,0.6107002539513282
future,residual,29,8x,0.15041089057922363,0.38782842930763034,0.6401056850283539
future,residual,30,8x,0.22684048116207123,0.4762777353205493,0.6991995241605636
future,residual,31,8x,0.4084360897541046,0.6390900482358528,0.537887078118751
future,mlp,14,8x,0.0026723481714725494,0.05169475961325819,0.7017839665632913
future,mlp,15,8x,0.0032626378815621138,0.05711950526363226,0.6939111180790367
future,mlp,16,8x,0.003401840338483453,0.058325297585897086,0.6210308041763649
future,mlp,17,8x,0.0037709062453359365,0.061407705097454475,0.6963099600853667
future,mlp,18,8x,0.003950148355215788,0.06285020568952648,0.6796116248173062
future,mlp,19,8x,0.003994378261268139,0.06320109382968098,0.6638902738432776
future,mlp,20,8x,0.004273827187716961,0.0653745148182146,0.6739187916010008
future,mlp,21,8x,0.004593667574226856,0.06777660049181322,0.648834080826618
future,mlp,22,8x,0.004500073846429586,0.06708258974152374,0.6716004148370907
future,mlp,23,8x,0.004574437625706196,0.06763458897417944,0.688665767516653
future,mlp,24,8x,0.004778363276273012,0.06912570633471322,0.619042718198617
future,mlp,25,8x,0.0056228977628052235,0.0749859837756712,0.6762640255938034
future,mlp,26,8x,0.006338485982269049,0.07961460910077402,0.6300205810439818
future,mlp,27,8x,0.008614489808678627,0.09281427588834935,0.6634072009763335
future,mlp,28,8x,0.013330096378922462,0.115456036563371,0.6341102486922465
future,mlp,29,8x,0.02021106518805027,0.14216562590179901,0.6214673542628635
future,mlp,30,8x,0.04478084668517113,0.21161485459478294,0.7038852808123981
future,mlp,31,8x,0.17863202095031738,0.42264881515309777,0.421682511459108
future,attention,14,8x,0.0006095101707614958,0.024688259775883268,1.189077318320955
future,attention,15,8x,0.0006383991567417979,0.025266562028534827,0.8611182101426933
future,attention,16,8x,0.0006066167843528092,0.024629591639992923,0.948693729667543
future,attention,17,8x,0.0006384204607456923,0.025266983609954163,0.7042666643036961
future,attention,18,8x,0.00035799399483948946,0.018920729236461514,0.6367736748018692
future,attention,19,8x,0.00022548518609255552,0.015016164160415785,0.818478078521206
future,attention,20,8x,0.00029037080821581185,0.017040270191983807,0.6681919274207786
future,attention,21,8x,0.0005287419771775603,0.022994390124062007,0.8081199179008656
future,attention,22,8x,0.00029295228887349367,0.01711584905499852,0.7618429584298432
future,attention,23,8x,0.00030359101947396994,0.017423863505949818,0.5867169758853
future,attention,24,8x,0.0003852361405733973,0.01962743336693306,0.6543331049831713
future,attention,25,8x,0.0007584358099848032,0.0275397133243032,0.9681851497608261
future,attention,26,8x,0.0008548641344532371,0.02923805969029472,0.971190792819256
future,attention,27,8x,0.0009020119905471802,0.030033514455474242,0.6895937192893581
future,attention,28,8x,0.001383511465974152,0.03719558395796673,1.0610164168073852
future,attention,29,8x,0.002107101958245039,0.045903180262864565,0.8126274060905656
future,attention,30,8x,0.0037930605467408895,0.0615878279105611,0.9485878789967919
future,attention,31,8x,0.009607124142348766,0.09801593820572635,0.6436835982585875
